ps,avg_score_tspa,avg_score_tspb
1,72382,46725.6
2,70450.9,45165.3
3,70222.9,44596.4
4,70058.9,44506.6
5,69966.2,44265.8
6,69916.8,44268.9
7,69830.4,44112.1
8,69748.9,44030.6
9,69604.4,43971.1
10,69503.9,43820.2
11,69523.6,43868.9
12,69533.1,43862.6
13,69457.6,43856.3
14,69507.1,43835.8
15,69465.6,43742.6
16,69452.9,43787.6
17,69393.4,43871.9
18,69344.6,43884.6
19,69413.7,43894.3
20,69433.5,43798.3
21,69364.1,43718.8
22,69448.6,43786.1
23,69462.3,43747.6
24,69470,43748.5
25,69445.4,43818.2
26,69468.2,43706.7
27,69462.2,43812.8
28,69510.9,43856.7
29,69556.9,43810.2
30,69549.2,43861.8
